Presion Pa3;Qo Pa3;Qw Pa3;phie;sw;K prom;KxH;Presion P5;Qo P5;Qw P5;phie;sw;K prom;KxH;Presion P36;Qo P36;Qw P36;phie;sw;K prom;KxH;Presion P37;Qo P37;Qw P37;phie;sw;K prom;KxH;t;QoP55;QwP55;QoP29;QwP29;QoP33;QwP33;QoP7;QwP7;Qo30;Qw30;Qo34;Qw34;Qo69;Qw69;Qo68;Qw68;QoP57;QwP57;QoP41;QwP41;QoP14;QwP14;Qo x-1;Qw x-1
91;88;209;0.195;0.365;46.516;1129.238;387;62;151;0.22;0.34;62.9432;1736;288;55;131;0.18;0.37;49.81;827.31;272;43;98;0.18;0.42;35.9625;531.52575;1;64;66;41;77;140;32;36;29;75;92;70;102;45;66;54;56;69;53;51;13;82;80;55;71
103;87;205;0.195;0.365;46.516;1129.238;366;58;136;0.22;0.34;62.9432;1736;303;51;122;0.18;0.37;49.81;827.31;258;44;101;0.18;0.42;35.9625;531.52575;2;66;67;38;83;134;38;34;29;73;100;74;104;47;81;56;52;68;46;57;13;77;82;58;73
103;76;175;0.195;0.365;46.516;1129.238;355;53;152;0.22;0.34;62.9432;1736;303;36;132;0.18;0.37;49.81;827.31;262;45;115;0.18;0.42;35.9625;531.52575;3;71;64;41;91;116;33;35;31;75;98;78;104;56;86;59;65;75;67;53;18;83;81;59;79
120;100;234;0.195;0.365;46.516;1129.238;329;67;181;0.22;0.34;62.9432;1736;314;50;151;0.18;0.37;49.81;827.31;262;42;107;0.18;0.42;35.9625;531.52575;4;84;53;49;94;125;28;35;32;65;107;90;119;46;65;61;63;90;82;53;18;91;88;62;81
122;90;221;0.195;0.365;46.516;1129.238;345;64;181;0.22;0.34;62.9432;1736;311;57;134;0.18;0.37;49.81;827.31;285;33;92;0.18;0.42;35.9625;531.52575;5;69;66;47;94;122;39;38;32;70;121;83;134;46;69;75;47;86;95;59;22;87;100;58;83
104;88;214;0.195;0.365;46.516;1129.238;355;63;166;0.22;0.34;62.9432;1736;298;50;115;0.18;0.37;49.81;827.31;279;47;106;0.18;0.42;35.9625;531.52575;6;84;62;44;87;114;54;35;28;83;110;82;126;44;81;53;55;90;80;54;21;83;99;61;84
91;86;196;0.195;0.365;46.516;1129.238;345;65;161;0.22;0.34;62.9432;1736;288;52;128;0.18;0.37;49.81;827.31;213;41;95;0.18;0.42;35.9625;531.52575;7;85;60;47;100;108;64;37;23;89;113;74;118;45;70;54;46;101;78;47;19;98;70;54;77
91;97;186;0.195;0.365;46.516;1129.238;344;68;183;0.22;0.34;62.9432;1736;315;39;146;0.18;0.37;49.81;827.31;257;48;87;0.18;0.42;35.9625;531.52575;8;79;61;48;99;103;62;32;30;77;163;74;100;53;76;47;66;73;82;50;17;98;62;57;68
95;78;223;0.195;0.365;46.516;1129.238;395;62;192;0.22;0.34;62.9432;1736;288;39;153;0.18;0.37;49.81;827.31;250;51;91;0.18;0.42;35.9625;531.52575;9;88;57;36;83;102;54;34;30;78;157;93;142;45;42;50;56;78;81;49;17;71;82;64;83
182;73;237;0.195;0.365;46.516;1129.238;355;52;187;0.22;0.34;62.9432;1736;288;35;143;0.18;0.37;49.81;827.31;209;45;80;0.18;0.42;35.9625;531.52575;10;79;69;29;73;83;64;32;31;77;159;89;167;46;48;56;70;68;73;49;12;81;64;61;86
167;62;195;0.195;0.365;46.516;1129.238;379;55;209;0.22;0.34;62.9432;1736;332;34;142;0.18;0.37;49.81;827.31;248;37;80;0.18;0.42;35.9625;531.52575;11;65;66;26;79;81;72;34;33;81;176;89;199;32;64;42;67;76;108;41;21;92;96;56;100
95;53;192;0.195;0.365;46.516;1129.238;387;51;223;0.22;0.34;62.9432;1736;306;51;174;0.18;0.37;49.81;827.31;268;38;97;0.18;0.42;35.9625;531.52575;12;71;76;30;81;78;74;33;37;91;175;89;184;29;71;38;69;52;155;42;25;78;101;56;102
95;48;192;0.195;0.365;46.516;1129.238;375;47;234;0.22;0.34;62.9432;1736;288;40;178;0.18;0.37;49.81;827.31;229;35;113;0.18;0.42;35.9625;531.52575;13;59;80;24;85;65;80;34;34;82;188;78;193;29;74;38;75;80;106;33;25;82;89;49;110
95;42;217;0.195;0.365;46.516;1129.238;380;48;236;0.22;0.34;62.9432;1736;311;38;232;0.18;0.37;49.81;827.31;243;30;112;0.18;0.42;35.9625;531.52575;14;53;95;18;116;61;87;31;34;87;191;79;190;31;72;43;71;81;94;29;26;59;102;46;109
